ANN,fit_time,score_time,test_R2,train_R2,test_RMSE,train_RMSE,test_MAE,train_MAE,test_MAPE,train_MAPE,test_Bias%,train_Bias%,test_WAPE%,train_WAPE%,test_Pearson-R,train_Pearson-R
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",2.9863205750783286,0.013669808705647787,0.7880248631482694,0.9999813716761526,-2648.948776414112,-24.89213467627474,-1893.8352640965388,-16.014747316835223,-0.26405040670165386,-0.0028292552967639204,0.0036828761974291163,-3.9582627191825766e-05,-0.20047182031844968,-0.0016868895072075132,0.8237332148972308,0.9999813825964258
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",2.836015303929647,0.017003218332926433,0.7880248631482694,0.9999813716761526,-2648.948776414112,-24.89213467627474,-1893.8352640965388,-16.014747316835223,-0.26405040670165386,-0.0028292552967639204,0.0036828761974291163,-3.9582627191825766e-05,-0.20047182031844968,-0.0016868895072075132,0.8237332148972308,0.9999813825964258
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",3.2977139155069985,0.01333920160929362,0.8124570758867583,0.9999950387019991,-2467.560751276356,-12.80998308402161,-1678.55325383163,-8.65867947169288,-0.2514055125126195,-0.0016181360549537866,0.010115125444312747,3.532175713473814e-05,-0.17666374311262853,-0.0009122304168683765,0.8253503023635994,0.9999950448433333
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",3.4645277659098306,0.01533659299214681,0.8124570758867583,0.9999950387019991,-2467.560751276356,-12.80998308402161,-1678.55325383163,-8.65867947169288,-0.2514055125126195,-0.0016181360549537866,0.010115125444312747,3.532175713473814e-05,-0.17666374311262853,-0.0009122304168683765,0.8253503023635994,0.9999950448433333
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",3.5811351935068765,0.01500376065572103,0.8124570758867583,0.9999950387019991,-2467.560751276356,-12.80998308402161,-1678.55325383163,-8.65867947169288,-0.2514055125126195,-0.0016181360549537866,0.010115125444312747,3.532175713473814e-05,-0.17666374311262853,-0.0009122304168683765,0.8253503023635994,0.9999950448433333
"(('regressor activation', 'tanh'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",7.222162167231242,0.014666477839152018,0.82697094516978,0.999998445330159,-2275.0378452271175,-6.5776386120792765,-1641.614352812219,-3.664755829691533,-0.21028667837068568,-0.000883810657571574,-0.0010371902820395958,-2.0702292667493284e-05,-0.17218226694140482,-0.0003859619949311663,0.8408494016474718,0.999998454767801
"(('regressor activation', 'tanh'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",7.0545783042907715,0.01266638437906901,0.82697094516978,0.999998445330159,-2275.0378452271175,-6.5776386120792765,-1641.614352812219,-3.664755829691533,-0.21028667837068568,-0.000883810657571574,-0.0010371902820395958,-2.0702292667493284e-05,-0.17218226694140482,-0.0003859619949311663,0.8408494016474718,0.999998454767801
"(('regressor activation', 'tanh'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",6.90427827835083,0.01233363151550293,0.82697094516978,0.999998445330159,-2275.0378452271175,-6.5776386120792765,-1641.614352812219,-3.664755829691533,-0.21028667837068568,-0.000883810657571574,-0.0010371902820395958,-2.0702292667493284e-05,-0.17218226694140482,-0.0003859619949311663,0.8408494016474718,0.999998454767801
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",22.174994468688965,0.0168453852335612,0.8277615732194453,0.9999818152341028,-2373.1666917213365,-23.593737735280538,-1684.2722905609774,-17.18675250152096,-0.20945056855803842,-0.003340818964473234,-0.008885722037261679,-4.900517674996339e-06,-0.1778323704249706,-0.0018111159497480832,0.8313508047105324,0.9999818544853808
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",22.54731845855713,0.013669967651367188,0.8277615732194453,0.9999818152341028,-2373.1666917213365,-23.593737735280538,-1684.2722905609774,-17.18675250152096,-0.20945056855803842,-0.003340818964473234,-0.008885722037261679,-4.900517674996339e-06,-0.1778323704249706,-0.0018111159497480832,0.8313508047105324,0.9999818544853808
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'lbfgs'), ('regressor tol', 1e-05))",21.821067492167156,0.015842358271280926,0.8277615732194453,0.9999818152341028,-2373.1666917213365,-23.593737735280538,-1684.2722905609774,-17.18675250152096,-0.20945056855803842,-0.003340818964473234,-0.008885722037261679,-4.900517674996339e-06,-0.1778323704249706,-0.0018111159497480832,0.8313508047105324,0.9999818544853808
"(('regressor activation', 'tanh'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.184722900390625,0.012666940689086914,0.8319418373018689,0.9880002116876162,-2344.8534738804588,-474.4395617813355,-1592.5978119025576,-367.9379597036437,-0.18699291171630225,-0.06393828387374267,-0.013015556839581785,-0.00219677057959778,-0.16765425395831554,-0.0383490654934081,0.8758189155259304,0.9946994442584508
