GBM,fit_time,score_time,test_R2,test_RMSE,test_MAE,test_MAPE,test_Bias%,test_WAPE%,test_Pearson-R
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 5))",0.1568286895751953,0.011103487014770508,0.5688933178608092,-784.3549097161347,-578.6587686742903,-0.1126462179402273,0.004002281827494106,-0.11537549674937642,0.5949320601630828
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 10))",0.15533771514892578,0.011400604248046875,0.5690584650655852,-784.5404888597747,-580.4732033241082,-0.11320014269371977,0.0034453190043784053,-0.11575322795624424,0.5959254149135313
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 10))",0.2153475284576416,0.019256734848022462,0.5690602678400372,-784.5386652693878,-580.471265900014,-0.1131995680547944,0.0034453921909510165,-0.11575282951767878,0.5959253595358724
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 10))",0.13512487411499025,0.01310276985168457,0.5690606828753738,-784.5379147798932,-580.4692665049297,-0.11319897721177845,0.0034458564695339666,-0.11575241952131407,0.5959244972090785
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 10))",0.12822718620300294,0.015103387832641601,0.5690610432962597,-784.5375501180226,-580.4688788559531,-0.11319886224231543,0.003445871193403429,-0.11575233979748542,0.5959244861437588
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 10))",0.154429292678833,0.011600685119628907,0.5693519160983532,-784.3391030552887,-580.4707596225229,-0.11322082933824071,0.003427229171696846,-0.11575274209808602,0.5962173440768751
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 10))",0.14563069343566895,0.012001419067382812,0.5694122297535091,-784.2867013755408,-580.2720516736323,-0.11315167089690621,0.0035118177406787366,-0.11571585222095906,0.5963987000954185
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 10))",0.1495360851287842,0.011503362655639648,0.5694854856513963,-784.2477764756275,-579.9598057186827,-0.11303914722201187,0.0035739719214716087,-0.1156524281615036,0.5966210037633082
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",0.15343127250671387,0.012402820587158202,0.5695076374497929,-784.2259960510839,-579.9393078654718,-0.11303341390687353,0.0035764078109135878,-0.11564823066335155,0.5966267305458077
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",0.1476293087005615,0.012000226974487304,0.5695113359762122,-784.22228167418,-579.9353598888649,-0.11303224358917938,0.0035765718274684546,-0.1156474193632407,0.5966267167079914
"(('regressor num_leaves', 4), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",0.20574145317077636,0.010804080963134765,0.635128362395229,-724.115019637778,-510.4824887484236,-0.09899298179370097,0.006085530702618179,-0.10199967804980067,0.6578459058628106
"(('regressor num_leaves', 4), ('regressor reg_alpha', 3), ('regressor reg_lambda', 10))",0.19224200248718262,0.010998964309692383,0.6361059732358184,-723.2242088628308,-510.8125810912973,-0.09920148662866472,0.005189575634737805,-0.10206920245354505,0.6599348089367246
"(('regressor num_leaves', 4), ('regressor reg_alpha', 2), ('regressor reg_lambda', 10))",0.1893385887145996,0.01231245994567871,0.6361078358824594,-723.2216415104119,-510.81207079122623,-0.09920137690948402,0.005189499002103982,-0.10206911565660567,0.6599362340055505
"(('regressor num_leaves', 4), ('regressor reg_alpha', 1), ('regressor reg_lambda', 10))",0.20174884796142578,0.011600494384765625,0.6376420326026679,-721.9620070674259,-507.93432897431904,-0.09849254173134153,0.005214082581065963,-0.10148005247321541,0.6610520538236891
"(('regressor num_leaves', 4), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",0.19604902267456054,0.011599874496459961,0.6377429059832647,-721.6024242202509,-510.4408117846894,-0.09913441781322863,0.00505408149635374,-0.10198701090921374,0.6620060834502349
"(('regressor num_leaves', 32), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.1))",0.39558987617492675,0.015103530883789063,0.6383714857731241,-719.773976049107,-512.8215116693606,-0.0999522908302188,0.0045160466010791475,-0.10241241274526003,0.6643335924677685
"(('regressor num_leaves', 256), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.1))",0.3372815608978271,0.011602067947387695,0.6383714857731241,-719.773976049107,-512.8215116693606,-0.0999522908302188,0.0045160466010791475,-0.10241241274526003,0.6643335924677685
"(('regressor num_leaves', 16), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.1))",0.3902857303619385,0.010702896118164062,0.6383714857731241,-719.773976049107,-512.8215116693606,-0.0999522908302188,0.0045160466010791475,-0.10241241274526003,0.6643335924677685
"(('regressor num_leaves', 512), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.1))",0.41379451751708984,0.011600065231323241,0.6383714857731241,-719.773976049107,-512.8215116693606,-0.0999522908302188,0.0045160466010791475,-0.10241241274526003,0.6643335924677685
"(('regressor num_leaves', 128), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.1))",0.4296071529388428,0.011406564712524414,0.6383714857731241,-719.773976049107,-512.8215116693606,-0.0999522908302188,0.0045160466010791475,-0.10241241274526003,0.6643335924677685
"(('regressor num_leaves', 8), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.1))",0.32666525840759275,0.011600542068481445,0.6383714857731241,-719.773976049107,-512.8215116693606,-0.0999522908302188,0.0045160466010791475,-0.10241241274526003,0.6643335924677685
"(('regressor num_leaves', 64), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.1))",0.3280693531036377,0.0114013671875,0.6383714857731241,-719.773976049107,-512.8215116693606,-0.0999522908302188,0.0045160466010791475,-0.10241241274526003,0.6643335924677685
"(('regressor num_leaves', 16), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.1))",0.39669137001037597,0.010600090026855469,0.6383729625084349,-719.7720012437406,-512.8208541887237,-0.09995221303085713,0.00451602304304888,-0.10241227567159183,0.6643359729682534
"(('regressor num_leaves', 64), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.1))",0.34767727851867675,0.011401033401489258,0.6383729625084349,-719.7720012437406,-512.8208541887237,-0.09995221303085713,0.00451602304304888,-0.10241227567159183,0.6643359729682534
"(('regressor num_leaves', 8), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.1))",0.3416861057281494,0.011400938034057617,0.6383729625084349,-719.7720012437406,-512.8208541887237,-0.09995221303085713,0.00451602304304888,-0.10241227567159183,0.6643359729682534
"(('regressor num_leaves', 32), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.1))",0.3488759517669678,0.02291135787963867,0.6383729625084349,-719.7720012437406,-512.8208541887237,-0.09995221303085713,0.00451602304304888,-0.10241227567159183,0.6643359729682534
"(('regressor num_leaves', 128), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.1))",0.40410237312316893,0.011202430725097657,0.6383729625084349,-719.7720012437406,-512.8208541887237,-0.09995221303085713,0.00451602304304888,-0.10241227567159183,0.6643359729682534
"(('regressor num_leaves', 256), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.1))",0.3501854419708252,0.011303424835205078,0.6383729625084349,-719.7720012437406,-512.8208541887237,-0.09995221303085713,0.00451602304304888,-0.10241227567159183,0.6643359729682534
"(('regressor num_leaves', 512), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.1))",0.42119998931884767,0.010799455642700195,0.6383729625084349,-719.7720012437406,-512.8208541887237,-0.09995221303085713,0.00451602304304888,-0.10241227567159183,0.6643359729682534
"(('regressor num_leaves', 8), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0))",0.32956781387329104,0.01120758056640625,0.6383973728098771,-719.5597029320572,-509.49488913904617,-0.0991041211809256,0.00415810319902504,-0.10174657334801904,0.6649984063643315
"(('regressor num_leaves', 512), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0))",0.4110856056213379,0.012502908706665039,0.6383973728098771,-719.5597029320572,-509.49488913904617,-0.0991041211809256,0.00415810319902504,-0.10174657334801904,0.6649984063643315
"(('regressor num_leaves', 16), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0))",0.3999913215637207,0.011702585220336913,0.6383973728098771,-719.5597029320572,-509.49488913904617,-0.0991041211809256,0.00415810319902504,-0.10174657334801904,0.6649984063643315
"(('regressor num_leaves', 256), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0))",0.3300825595855713,0.011603021621704101,0.6383973728098771,-719.5597029320572,-509.49488913904617,-0.0991041211809256,0.00415810319902504,-0.10174657334801904,0.6649984063643315
"(('regressor num_leaves', 32), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0))",0.3338788032531738,0.011302900314331055,0.6383973728098771,-719.5597029320572,-509.49488913904617,-0.0991041211809256,0.00415810319902504,-0.10174657334801904,0.6649984063643315
